commune,surface_m2,nbr_chambres,etage,type_logement,distance_centre_km,annee_construction,etat,parking,gardiennage,prix_fcfa
Abobo,66,4,0,Appartement,12.0,1989,Bon état,1,1,6900000
Yopougon,70,3,0,Appartement,4.5,2005,À rénover,0,1,11800000
Yopougon,71,3,2,Villa,3.2,2004,Bon état,1,0,9800000
Adjamé,76,5,2,Villa,4.2,2007,Neuf,1,1,15100000
Cocody,43,2,0,Appartement,7.4,1992,Bon état,1,1,12800000
Abobo,51,1,1,Villa,40.0,1994,Bon état,1,0,5000000
Yopougon,39,2,4,Duplex,5.4,1985,Bon état,1,0,5000000
Koumassi,120,2,0,Studio,1.9,1991,Bon état,1,0,20800000
Cocody,26,2,2,Appartement,1.4,1998,Bon état,1,1,8300000
Abobo,131,4,2,Duplex,0.5,2011,Bon état,0,1,20700000
Yopougon,147,3,1,Villa,6.5,1990,Bon état,0,0,23200000
Adjamé,63,2,4,Appartement,6.3,2017,Neuf,0,0,10400000
Cocody,20,3,2,Appartement,1.8,2012,À rénover,1,1,5000000
Abobo,62,3,1,Appartement,9.5,1981,Bon état,1,1,7600000
Abobo,71,4,2,Villa,10.8,1994,Neuf,1,0,9600000
Abobo,44,4,2,Appartement,2.4,2015,Bon état,1,0,7800000
Abobo,57,3,2,Villa,3.4,1984,Bon état,1,0,8000000
Adjamé,158,3,3,Appartement,37.2,1994,Neuf,1,1,33800000
Koumassi,103,3,1,Duplex,3.8,2022,Bon état,0,1,18200000
Marcory,46,3,0,Appartement,11.4,1989,Bon état,1,1,9500000
Koumassi,33,1,0,Duplex,4.8,1996,Bon état,0,0,5000000
Yopougon,63,1,0,Duplex,12.6,2013,Bon état,0,1,8500000
Cocody,66,3,0,Appartement,11.7,2003,Bon état,0,1,18400000
Cocody,94,2,3,Appartement,8.8,1989,Neuf,0,0,26800000
Yopougon,56,1,2,Appartement,15.4,2009,À rénover,0,0,7100000
Koumassi,95,3,2,Duplex,22.4,1982,Bon état,1,1,19100000
Adjamé,194,1,2,Villa,6.9,2016,Bon état,0,1,20000000
Koumassi,111,3,3,Appartement,2.2,1982,Neuf,1,0,21300000
Abobo,72,3,1,Appartement,4.1,2019,Bon état,0,0,7900000
Yopougon,67,5,3,Appartement,11.4,1984,Bon état,0,1,9100000
Plateau,62,2,1,Duplex,8.4,2007,Neuf,1,1,27600000
Yopougon,133,1,4,Villa,1.6,2023,Bon état,1,1,19200000
Yopougon,54,3,2,Studio,0.5,1993,Neuf,1,0,9700000
Cocody,75,4,0,Appartement,9.2,2018,Bon état,1,0,29200000
Marcory,76,5,2,Appartement,2.3,1990,Bon état,1,0,26300000
Abobo,57,2,1,Duplex,5.5,1987,Neuf,1,1,7300000
Adjamé,37,2,0,Appartement,11.0,2016,À rénover,1,1,5900000
Treichville,87,4,2,Duplex,6.6,1987,Neuf,1,1,21600000
Port-Bouet,71,2,1,Appartement,0.7,1991,Bon état,0,0,14600000
Adjamé,95,3,0,Appartement,1.6,1994,Bon état,1,1,14600000
Yopougon,56,2,4,Villa,2.0,1998,Bon état,0,1,7100000
Abobo,136,1,2,Duplex,2.4,2007,Bon état,1,1,14300000
Koumassi,48,2,3,Duplex,6.7,1986,Neuf,1,1,5000000
Cocody,173,2,2,Appartement,5.6,2019,À rénover,0,1,53400000
Yopougon,31,3,1,Appartement,1.8,1986,Bon état,0,1,5000000
Koumassi,92,4,1,Villa,0.6,2009,Neuf,0,0,16100000
Yopougon,93,2,2,Villa,1.5,1997,Bon état,1,1,14800000
Abobo,50,4,4,Villa,33.3,2003,À rénover,0,0,6300000
Abobo,91,1,0,Appartement,5.1,1985,Bon état,0,1,12500000
Plateau,140,3,3,Duplex,16.2,1983,Neuf,1,1,44400000
Yopougon,24,1,4,Villa,15.1,1982,Bon état,1,0,5000000
Yopougon,95,4,2,Studio,5.7,1985,Bon état,0,1,16900000
Cocody,21,3,4,Villa,9.8,2005,Bon état,0,1,5100000
Cocody,45,3,1,Appartement,1.7,2023,À rénover,0,1,20600000
Koumassi,166,4,4,Duplex,9.3,2017,Bon état,0,1,28500000
Marcory,55,3,2,Villa,2.5,1990,Bon état,0,1,11100000
Abobo,41,5,0,Studio,14.3,2008,À rénover,1,1,5000000
Marcory,67,3,4,Duplex,0.7,1999,Bon état,1,0,15000000
Treichville,207,4,1,Villa,11.9,1989,Bon état,1,0,47800000
Marcory,29,3,1,Villa,0.8,2005,Bon état,1,0,6800000
Yopougon,44,1,2,Appartement,17.0,2006,Bon état,0,1,5500000
Port-Bouet,156,3,0,Appartement,2.9,1993,Bon état,0,0,31700000
Port-Bouet,187,1,1,Appartement,8.5,2015,Bon état,1,1,28200000
Plateau,70,3,3,Appartement,5.3,1991,À rénover,0,0,20200000
Koumassi,40,2,0,Appartement,3.6,2002,À rénover,1,1,5900000
Yopougon,210,3,0,Appartement,8.3,2000,Bon état,1,0,20400000
Yopougon,164,1,0,Appartement,23.6,1987,Bon état,1,1,22500000
Plateau,103,2,1,Appartement,0.5,2018,Bon état,0,1,33200000
Cocody,49,2,2,Appartement,20.1,1988,Neuf,0,1,15200000
Adjamé,72,5,3,Appartement,7.5,2003,Bon état,1,1,17100000
Yopougon,68,2,4,Villa,13.2,2010,Bon état,1,1,8200000
Yopougon,87,2,2,Villa,3.9,2004,Bon état,0,1,14200000
Adjamé,152,3,0,Appartement,5.1,1996,À rénover,1,1,24700000
Koumassi,114,3,4,Villa,16.3,2021,Neuf,0,0,23400000
Plateau,43,2,3,Studio,4.3,2008,Bon état,0,1,15400000
Abobo,147,2,2,Appartement,6.1,1982,Bon état,1,1,15300000
Plateau,86,2,2,Villa,0.5,2000,Bon état,1,0,35900000
Koumassi,104,5,4,Duplex,1.4,1987,À rénover,1,1,18000000
Adjamé,153,1,2,Studio,8.2,1993,À rénover,1,1,20100000
Treichville,42,2,1,Appartement,10.1,2018,Neuf,0,1,8000000
Cocody,72,1,2,Villa,7.0,1995,Neuf,1,1,20000000
Cocody,57,2,0,Appartement,1.2,1997,Neuf,0,0,20700000
Marcory,34,3,1,Villa,4.7,2010,Bon état,1,0,5600000
